Page,Pastel #,Type,Proposed change (Jason's words),APPROVE? (Yes/Tweak/Skip),Your edit or note,Screenshot (click to view pin)
Surfacing,84,Text change,Surrey Contracting Limited,,,https://user-assets.usepastel.com/screenshot/nYh4z71ITs6oSTOl.jpg
Surfacing,85,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/d1rGbPmMOUncL5xk.jpg
Surfacing,86,Text change,Add in Demolition,,,https://user-assets.usepastel.com/screenshot/gYqLQuz8eRCWsZl6.jpg
Surfacing,87,Remove/clarify - what here?,Chnage throughout,,,https://user-assets.usepastel.com/screenshot/jItxJtlp9KQQWFYc.jpg
Surfacing,132,Text change,Demolition,,,https://user-assets.usepastel.com/screenshot/ExbgwbpQqGi3T95W.jpg
Sectors,104,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/Baj3wlUqqyTLNn32.jpg
Sectors,105,Text change,Surrey Contracting Limited,,,https://user-assets.usepastel.com/screenshot/sUv37Tthegz7vlDu.jpg
Sectors,106,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/VjzI9UImN6pYfVf7.jpg
Sectors,107,Text change,Add in - Demolition,,,https://user-assets.usepastel.com/screenshot/aKVN4FrlZHOTVA6V.jpg
Sectors,108,Remove/clarify - what here?,Change to match the same wording throughout,,,https://user-assets.usepastel.com/screenshot/Vq2h1NQiSAaURtbd.jpg
Contact,111,Text change,Surrey Contracting Limited,,,https://user-assets.usepastel.com/screenshot/zxMXWPMAYeiD8AIm.jpg
Contact,112,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/Nor0ovyjoYgCUSB2.jpg
Contact,113,Text change,Add in Demolition,,,https://user-assets.usepastel.com/screenshot/lsFf64NaBRysNbVQ.jpg
Contact,115,Remove/clarify - what here?,Match Wording throughout,,,https://user-assets.usepastel.com/screenshot/2OwVd2jDKXIf7i80.jpg
Contact,116,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/KxmdvuG2Dic1EI7H.jpg
Contact,117,Text change,Add in Demolition,,,https://user-assets.usepastel.com/screenshot/yUwc9v0gMzUszx0w.jpg
Contact,118,Text change,Change to - Surrey Contracting Limited,,,https://user-assets.usepastel.com/screenshot/wElrkCGeusPyE3Hx.jpg
Contact,119,Text change,Contact us today to discuss your project.,,,https://user-assets.usepastel.com/screenshot/7IWoXveLEvR6CiRj.jpg
Contact,120,Text change,"Demoltion,",,,https://user-assets.usepastel.com/screenshot/Z1Dte3tLRSYmnJOm.jpg
Health & Safety,89,Remove/clarify - what here?,REMOVE WORDING,,,https://user-assets.usepastel.com/screenshot/g8YhJhOjlTsD2iR9.jpg
Health & Safety,90,Remove/clarify - what here?,REMOVE WORDING,,,https://user-assets.usepastel.com/screenshot/w18VyNJkoucLmrxK.jpg
Health & Safety,91,Remove/clarify - what here?,REMOVE WORDING,,,https://user-assets.usepastel.com/screenshot/7PQaZUyMToeWq7GV.jpg
Health & Safety,92,Remove/clarify - what here?,REMOVE WORDING,,,https://user-assets.usepastel.com/screenshot/I9xCAQmetCNKoFkw.jpg
Health & Safety,93,Text change,"Audited. Verified. Complient 

Remove on the record",,,https://user-assets.usepastel.com/screenshot/Nsk100Rk2ZpOdCI1.jpg
Health & Safety,94,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/xmL7AVdELOjroW1M.jpg
